45.0,40.0,44.0,11.0,46.0,31.0,86.0,87.0,30.0,5.0,34.0,85.0,24.0,13.0,95.0,9.0,96.0,28.0,79.0,55.0,39.0,4.0,57.0,0.0,80.0,70.0,3.0,73.0,52.0,27.0,42.0,92.0,68.0,58.0,14.0,59.0,99.0,82.0,29.0,90.0,62.0,74.0,53.0,61.0,22.0,1.0,64.0,47.0,36.0,81.0,37.0,7.0,25.0,97.0,43.0,65.0,35.0,32.0,60.0,33.0,2.0,66.0,41.0,77.0,19.0,69.0,12.0,88.0,10.0,54.0,94.0,6.0,71.0,50.0,89.0,16.0,78.0,51.0,49.0,56.0,76.0,84.0,26.0,21.0,18.0,63.0,75.0,48.0,17.0,67.0,72.0,93.0,91.0,15.0,98.0,8.0,38.0,20.0,23.0,83.0,47688.858678118093
76.0,88.0,13.0,34.0,14.0,40.0,27.0,35.0,51.0,20.0,28.0,57.0,48.0,59.0,38.0,93.0,66.0,97.0,24.0,86.0,49.0,47.0,54.0,25.0,67.0,87.0,36.0,19.0,84.0,74.0,46.0,45.0,10.0,0.0,80.0,33.0,71.0,95.0,90.0,6.0,89.0,44.0,79.0,69.0,75.0,21.0,31.0,77.0,52.0,17.0,98.0,23.0,70.0,32.0,39.0,4.0,55.0,61.0,1.0,42.0,72.0,43.0,65.0,91.0,16.0,50.0,2.0,9.0,96.0,53.0,56.0,26.0,18.0,8.0,60.0,37.0,12.0,5.0,58.0,15.0,99.0,85.0,3.0,68.0,82.0,73.0,11.0,29.0,64.0,94.0,62.0,63.0,41.0,30.0,81.0,83.0,7.0,78.0,22.0,92.0,50256.158861798576
86.0,5.0,53.0,36.0,91.0,34.0,6.0,96.0,75.0,45.0,11.0,41.0,48.0,59.0,9.0,35.0,8.0,20.0,44.0,14.0,69.0,30.0,93.0,29.0,84.0,79.0,60.0,85.0,50.0,16.0,65.0,47.0,0.0,87.0,55.0,68.0,17.0,77.0,67.0,1.0,90.0,40.0,62.0,64.0,15.0,73.0,28.0,46.0,99.0,70.0,58.0,24.0,81.0,12.0,37.0,13.0,26.0,57.0,19.0,32.0,76.0,56.0,31.0,80.0,23.0,3.0,33.0,63.0,74.0,2.0,27.0,39.0,88.0,54.0,82.0,49.0,92.0,4.0,22.0,7.0,71.0,95.0,66.0,72.0,43.0,98.0,89.0,18.0,78.0,97.0,42.0,94.0,38.0,61.0,10.0,21.0,83.0,52.0,51.0,25.0,58427.035916944245
1.0,2.0,47.0,64.0,86.0,26.0,46.0,33.0,59.0,85.0,13.0,25.0,6.0,45.0,89.0,73.0,37.0,96.0,58.0,35.0,34.0,36.0,30.0,5.0,95.0,38.0,82.0,17.0,68.0,39.0,81.0,10.0,19.0,40.0,28.0,27.0,31.0,79.0,20.0,8.0,42.0,94.0,43.0,51.0,71.0,29.0,32.0,91.0,18.0,23.0,65.0,56.0,77.0,12.0,22.0,87.0,55.0,78.0,16.0,99.0,49.0,53.0,61.0,4.0,69.0,74.0,57.0,14.0,75.0,15.0,48.0,11.0,7.0,50.0,3.0,70.0,21.0,92.0,76.0,41.0,66.0,84.0,9.0,83.0,60.0,44.0,52.0,90.0,72.0,54.0,80.0,98.0,0.0,63.0,62.0,93.0,88.0,97.0,67.0,24.0,47457.143998537482
69.0,10.0,34.0,2.0,78.0,51.0,43.0,39.0,97.0,75.0,89.0,18.0,66.0,64.0,55.0,87.0,59.0,23.0,37.0,56.0,31.0,85.0,33.0,26.0,35.0,4.0,94.0,72.0,92.0,5.0,12.0,36.0,58.0,52.0,28.0,11.0,46.0,8.0,21.0,38.0,93.0,9.0,57.0,17.0,82.0,80.0,73.0,40.0,44.0,6.0,74.0,25.0,68.0,42.0,81.0,32.0,96.0,50.0,60.0,14.0,61.0,86.0,49.0,91.0,0.0,70.0,84.0,90.0,41.0,67.0,24.0,76.0,13.0,95.0,19.0,15.0,98.0,48.0,22.0,77.0,45.0,20.0,71.0,29.0,7.0,16.0,63.0,88.0,30.0,53.0,54.0,47.0,65.0,27.0,99.0,62.0,1.0,79.0,83.0,3.0,49937.470898608211
27.0,66.0,56.0,53.0,87.0,79.0,63.0,95.0,21.0,99.0,89.0,11.0,46.0,35.0,57.0,14.0,93.0,43.0,52.0,85.0,2.0,25.0,55.0,88.0,36.0,40.0,15.0,67.0,64.0,65.0,9.0,7.0,71.0,70.0,3.0,82.0,37.0,8.0,23.0,13.0,26.0,96.0,16.0,58.0,54.0,72.0,30.0,41.0,86.0,75.0,45.0,28.0,33.0,74.0,34.0,47.0,29.0,38.0,80.0,31.0,92.0,39.0,4.0,51.0,6.0,19.0,77.0,1.0,42.0,94.0,68.0,90.0,10.0,50.0,83.0,60.0,98.0,18.0,84.0,24.0,69.0,78.0,44.0,48.0,81.0,76.0,59.0,91.0,49.0,32.0,73.0,5.0,97.0,61.0,22.0,12.0,0.0,17.0,20.0,62.0,52296.07484417349
51.0,17.0,50.0,18.0,19.0,47.0,65.0,46.0,5.0,76.0,49.0,83.0,44.0,48.0,75.0,14.0,9.0,71.0,20.0,7.0,60.0,0.0,11.0,59.0,31.0,97.0,10.0,57.0,23.0,8.0,24.0,92.0,66.0,84.0,26.0,64.0,43.0,25.0,96.0,99.0,73.0,77.0,88.0,12.0,69.0,6.0,28.0,33.0,86.0,68.0,15.0,85.0,3.0,2.0,90.0,94.0,1.0,55.0,61.0,13.0,91.0,62.0,45.0,37.0,4.0,58.0,34.0,29.0,42.0,72.0,32.0,74.0,21.0,78.0,53.0,27.0,70.0,89.0,16.0,52.0,56.0,41.0,67.0,35.0,38.0,95.0,30.0,80.0,98.0,40.0,82.0,79.0,63.0,93.0,39.0,87.0,22.0,81.0,36.0,54.0,50846.225436776818
48.0,98.0,23.0,10.0,81.0,56.0,72.0,86.0,88.0,78.0,16.0,55.0,39.0,34.0,26.0,18.0,63.0,75.0,70.0,83.0,80.0,0.0,30.0,41.0,49.0,27.0,53.0,24.0,77.0,62.0,59.0,79.0,12.0,4.0,25.0,64.0,47.0,57.0,17.0,73.0,3.0,19.0,69.0,36.0,22.0,97.0,8.0,21.0,13.0,65.0,20.0,99.0,68.0,5.0,44.0,89.0,11.0,76.0,42.0,91.0,96.0,52.0,46.0,71.0,50.0,40.0,37.0,67.0,94.0,95.0,38.0,74.0,35.0,84.0,9.0,82.0,7.0,45.0,6.0,93.0,54.0,1.0,92.0,29.0,2.0,32.0,85.0,33.0,51.0,87.0,28.0,31.0,43.0,61.0,90.0,60.0,15.0,14.0,58.0,66.0,54379.961893348715
18.0,51.0,79.0,80.0,99.0,91.0,41.0,24.0,19.0,3.0,16.0,0.0,14.0,89.0,98.0,40.0,60.0,21.0,94.0,54.0,12.0,7.0,59.0,74.0,34.0,27.0,13.0,66.0,23.0,57.0,52.0,77.0,64.0,37.0,75.0,15.0,44.0,71.0,32.0,10.0,1.0,76.0,26.0,85.0,56.0,30.0,96.0,33.0,88.0,22.0,84.0,31.0,65.0,82.0,73.0,69.0,5.0,86.0,43.0,97.0,62.0,45.0,50.0,20.0,93.0,42.0,72.0,87.0,58.0,2.0,92.0,55.0,17.0,83.0,8.0,95.0,9.0,36.0,6.0,70.0,46.0,81.0,39.0,68.0,49.0,53.0,25.0,47.0,38.0,48.0,78.0,4.0,63.0,11.0,35.0,90.0,61.0,67.0,29.0,28.0,56520.158309842715
3.0,12.0,25.0,53.0,76.0,94.0,68.0,61.0,10.0,93.0,66.0,63.0,57.0,16.0,8.0,83.0,23.0,85.0,95.0,24.0,79.0,52.0,77.0,64.0,18.0,48.0,99.0,29.0,87.0,55.0,30.0,32.0,58.0,39.0,44.0,36.0,59.0,50.0,47.0,72.0,86.0,6.0,46.0,69.0,17.0,80.0,71.0,34.0,90.0,78.0,37.0,0.0,15.0,74.0,5.0,22.0,14.0,89.0,38.0,21.0,82.0,11.0,75.0,88.0,54.0,49.0,35.0,84.0,96.0,20.0,98.0,28.0,33.0,92.0,41.0,70.0,27.0,42.0,31.0,91.0,43.0,1.0,67.0,4.0,81.0,56.0,65.0,2.0,9.0,40.0,19.0,97.0,13.0,60.0,73.0,7.0,45.0,51.0,26.0,62.0,55653.145779722247
