4.0,3.0,12.0,13.0,0.0,1.0,14.0,10.0,2.0,7.0,9.0,6.0,8.0,5.0,11.0,6895.4228371768859
7.0,5.0,2.0,14.0,10.0,4.0,11.0,12.0,13.0,0.0,1.0,3.0,9.0,6.0,8.0,7510.2748836277742
9.0,4.0,10.0,14.0,1.0,13.0,12.0,8.0,6.0,3.0,0.0,2.0,11.0,5.0,7.0,7556.2143297104858
12.0,3.0,2.0,6.0,10.0,4.0,9.0,7.0,5.0,11.0,8.0,14.0,1.0,0.0,13.0,6711.8599762896201
13.0,3.0,11.0,10.0,4.0,9.0,5.0,2.0,12.0,6.0,8.0,7.0,14.0,1.0,0.0,9443.8649778719064
13.0,1.0,14.0,10.0,4.0,9.0,8.0,2.0,0.0,3.0,6.0,11.0,5.0,7.0,12.0,8335.2532062930295
7.0,8.0,2.0,11.0,5.0,9.0,4.0,10.0,14.0,12.0,13.0,0.0,1.0,3.0,6.0,6197.8680851312065
5.0,2.0,3.0,14.0,13.0,1.0,4.0,9.0,7.0,8.0,11.0,12.0,0.0,10.0,6.0,9201.3939626210104
6.0,4.0,3.0,13.0,12.0,7.0,9.0,10.0,1.0,11.0,8.0,14.0,0.0,2.0,5.0,10449.335613683254
5.0,8.0,7.0,9.0,12.0,10.0,4.0,0.0,13.0,1.0,3.0,14.0,6.0,2.0,11.0,8134.577006934629
